gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1782660586	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_TWN:OBS454538515	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Fiordland NP--east Homer Tunnel	Southland			e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							2013-12-11T00:00:00Z	11	12	2013	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD_TWN	OBS454538515				CC0_1_0		obsr645669			2019-11-14T00:43:24.819Z		
1782618437	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_NZ:OBS454448866	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Matukituki Valley, between Shovel and Pearl Flat	Otago			e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.472746	168.665704							2016-12-22T00:00:00Z	22	12	2016	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD_NZ	OBS454448866				CC0_1_0		obsr839280			2019-11-14T00:43:38.084Z		COORDINATE_ROUNDED
1782589647	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_AU:OBS454233430	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Okarito (township area)	West Coast		2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-43.223316	170.162258							2014-11-29T00:00:00Z	29	11	2014	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD_AU	OBS454233430				CC0_1_0		obsr450413			2019-11-14T01:06:59.482Z		COORDINATE_ROUNDED
1782347249	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_NZ:OBS453225414	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Lake Greaney	West Coast		4	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.0919	168.788195							2011-03-30T00:00:00Z	30	3	2011	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD_NZ	OBS453225414				CC0_1_0		obsr837867			2019-11-14T00:43:46.648Z		COORDINATE_ROUNDED
1781988087	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS452700350	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Fiordland NP--The Chasm	Southland			e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.721732	167.948548							2016-11-13T00:00:00Z	13	11	2016	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS452700350				CC0_1_0		obsr145315			2019-11-14T00:55:23.619Z		COORDINATE_ROUNDED
1781781932	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS452443045	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Fiordland NP--east Homer Tunnel	Southland		5	e2e717bf-551a-4917-bdc9-4fa0f342c530	-44.7642	167.9869							2016-12-30T00:00:00Z	30	12	2016	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS452443045				CC0_1_0		obsr142759			2019-11-14T00:44:02.548Z		
1781683761	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS452497238	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Arthur's Pass Village	Canterbury		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-42.946622	171.566105							2016-12-20T00:00:00Z	20	12	2016	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS452497238				CC0_1_0		obsr733417			2019-11-14T00:43:44.495Z		COORDINATE_ROUNDED
1781243993	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_NZ:OBS451995005	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Pomona Island (Lake Manapouri)	Southland		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-45.502415	167.473912							2016-12-28T00:00:00Z	28	12	2016	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD_NZ	OBS451995005				CC0_1_0		obsr402151			2019-11-14T01:07:01.564Z		COORDINATE_ROUNDED
1780785906	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS451426400	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	Real Journeys dock	Southland		1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-45.569374	167.609868							2004-12-26T00:00:00Z	26	12	2004	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS451426400				CC0_1_0		obsr826071			2019-11-14T01:07:00.375Z		COORDINATE_ROUNDED
1780726190	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS451084325	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Nestor	Nestor notabilis		SPECIES	Nestor notabilis Gould, 1856	Nestor notabilis		NZ	paramata lodge	West Coast		3	e2e717bf-551a-4917-bdc9-4fa0f342c530	-42.934118	170.717674							2016-12-23T00:00:00Z	23	12	2016	2479593	2479593	HUMAN_OBSERVATION	CLO	EBIRD	OBS451084325				CC0_1_0		obsr442205			2019-11-14T00:56:48.456Z		COORDINATE_ROUNDED
